user,repo,file,nbr of comits in the last year,nbr of commits in the last 6 month,nbr of commits in the last month,Data of creation,repos html url,
daetalys,gitFOSS,LaTeX.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/LaTeX.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
daetalys,gitFOSS,Middleman.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/Pages/Middleman.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
daetalys,gitFOSS,Deploy-ECS.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/AWS/Deploy-ECS.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
daetalys,gitFOSS,HTML.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/Pages/HTML.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
daetalys,gitFOSS,Secret-Detection.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/Jobs/Secret-Detection.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
daetalys,gitFOSS,Terraform.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/Terraform.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
daetalys,gitFOSS,Nodejs.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/Nodejs.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
daetalys,gitFOSS,License-Scanning.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/Security/License-Scanning.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
daetalys,gitFOSS,Clojure.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/Clojure.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
daetalys,gitFOSS,iOS-Fastlane.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/iOS-Fastlane.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
daetalys,gitFOSS,Ruby.gitlab-ci.yml,,,,2021-10-02,https://github.com/daetalys/gitFOSS/blob/1a3aea6c09a63fa987726320717060bd97d1114f/lib/gitlab/ci/templates/Ruby.gitlab-ci.yml,api.github.com/repos/daetalys/gitFOSS
